,target,face_width,face_height,chin_width,chin_height,right_Eyebrow_width,right_Eyebrow_height,left_Eyebrow_width,left_Eyebrow_height,nose_width,nose_height,right_Eye_width,right_Eye_height,left_Eye_width,left_Eye_height,mouse_width,mouse_height
97,10,109,106,106,88,37,9,36,4,18,39,20,6,20,6,30,20
98,10,112,108,108,91,40,10,36,3,18,39,19,7,20,7,30,21
99,10,111,107,107,91,39,8,36,3,17,40,19,7,20,7,30,21
100,11,90,98,98,85,37,4,31,5,19,33,19,6,18,6,36,15
101,11,89,99,99,73,37,7,31,9,20,31,19,6,17,6,35,13
102,11,92,97,97,69,37,9,30,7,19,32,18,5,16,4,36,12
103,11,90,97,97,67,34,8,32,7,18,32,17,6,17,5,35,11
104,11,90,97,97,77,35,6,34,5,19,32,18,6,17,5,38,16
105,11,89,99,99,79,36,6,34,6,20,33,18,3,17,4,38,16
106,11,94,97,97,84,36,4,33,2,19,32,18,6,18,7,37,16
107,11,95,99,99,85,37,4,31,4,20,32,18,3,17,3,37,17
108,11,91,97,97,81,36,6,33,5,20,32,19,6,18,6,39,16
109,11,86,97,97,80,34,5,35,5,20,34,18,5,18,6,34,15
110,12,99,90,90,75,33,10,34,6,20,37,17,4,17,4,39,14
111,12,92,92,92,75,33,8,31,5,22,36,17,5,17,5,38,9
112,12,94,91,91,78,34,8,31,5,22,37,18,6,17,5,36,11
113,12,84,90,90,70,33,7,32,6,22,35,17,5,17,5,38,11
114,12,89,92,92,76,34,7,33,7,23,38,18,5,18,6,39,9
115,12,101,93,93,83,33,8,34,6,24,40,17,4,18,5,39,12
116,12,87,93,93,75,34,5,34,6,24,39,18,6,18,6,38,9
117,12,108,107,107,89,40,9,39,8,26,45,20,6,21,6,41,12
118,12,98,102,102,80,37,9,38,9,25,41,19,6,19,6,39,11
