,target,face_height,chin_width,chin_height,right_Eyebrow_width,right_Eyebrow_height,left_Eyebrow_width,left_Eyebrow_height,nose_width,nose_height,right_Eye_width,right_Eye_height,left_Eye_width,left_Eye_height,mouse_width,mouse_height
46,5,0.9642857142857143,0.9642857142857143,0.7285714285714285,0.34285714285714286,0.1357142857142857,0.3357142857142857,0.04285714285714286,0.19285714285714287,0.35,0.17857142857142858,0.05714285714285714,0.17142857142857143,0.06428571428571428,0.34285714285714286,0.11428571428571428
47,5,0.9785714285714285,0.9785714285714285,0.7428571428571429,0.35714285714285715,0.12142857142857143,0.3357142857142857,0.04285714285714286,0.19285714285714287,0.34285714285714286,0.17857142857142858,0.05,0.17142857142857143,0.05,0.34285714285714286,0.15
48,5,0.9710144927536232,0.9710144927536232,0.782608695652174,0.35507246376811596,0.09420289855072464,0.30434782608695654,0.043478260869565216,0.1956521739130435,0.35507246376811596,0.18115942028985507,0.036231884057971016,0.17391304347826086,0.043478260869565216,0.34057971014492755,0.13768115942028986
49,5,0.9779411764705882,0.9779411764705882,0.7647058823529411,0.33088235294117646,0.10294117647058823,0.3088235294117647,0.051470588235294115,0.21323529411764705,0.34558823529411764,0.17647058823529413,0.04411764705882353,0.16911764705882354,0.04411764705882353,0.35294117647058826,0.1323529411764706
50,6,1.0975609756097562,1.0975609756097562,0.8292682926829268,0.34146341463414637,0.08943089430894309,0.3902439024390244,0.024390243902439025,0.22764227642276422,0.3983739837398374,0.17886178861788618,0.04065040650406504,0.18699186991869918,0.04065040650406504,0.36585365853658536,0.10569105691056911
51,6,1.1322314049586777,1.1322314049586777,0.8512396694214877,0.4049586776859504,0.09090909090909091,0.4214876033057851,0.04132231404958678,0.2231404958677686,0.4049586776859504,0.19008264462809918,0.04132231404958678,0.19008264462809918,0.049586776859504134,0.36363636363636365,0.11570247933884298
52,6,1.1101694915254237,1.1101694915254237,0.8135593220338984,0.3813559322033898,0.09322033898305085,0.3813559322033898,0.03389830508474576,0.2288135593220339,0.4067796610169492,0.1864406779661017,0.0423728813559322,0.1864406779661017,0.05084745762711865,0.3644067796610169,0.11016949152542373
53,6,1.0703125,1.0703125,0.8203125,0.328125,0.0703125,0.3671875,0.0390625,0.2265625,0.359375,0.1796875,0.015625,0.1875,0.03125,0.4296875,0.15625
54,6,1.0714285714285714,1.0714285714285714,0.8333333333333334,0.30952380952380953,0.07936507936507936,0.4126984126984127,0.06349206349206349,0.20634920634920634,0.38095238095238093,0.1746031746031746,0.031746031746031744,0.1984126984126984,0.03968253968253968,0.35714285714285715,0.1349206349206349
55,6,0.9183673469387755,0.9183673469387755,0.8707482993197279,0.30612244897959184,0.09523809523809523,0.35374149659863946,0.034013605442176874,0.19047619047619047,0.36054421768707484,0.1564625850340136,0.027210884353741496,0.16326530612244897,0.034013605442176874,0.32653061224489793,0.16326530612244897
56,6,1.1623931623931625,1.1623931623931625,0.8632478632478633,0.37606837606837606,0.05982905982905983,0.4188034188034188,0.017094017094017096,0.23931623931623933,0.4017094017094017,0.18803418803418803,0.042735042735042736,0.20512820512820512,0.042735042735042736,0.4017094017094017,0.13675213675213677
